Target (x, y, z) -> Joint Angles (theta1, theta2, theta3, theta4, theta5)
[0.34, 0.51, 0.56] -> [56.31, -118.36, 14.62, -14.62, 0.00]
[1.19, 1.21, 0.77] -> [45.48, -60.39, 74.65, -74.65, 0.00]
[-0.38, 0.9, 0.67] -> [112.89, -93.26, 30.80, -30.80, 0.00]
[0.82, 0.92, 1.16] -> [48.29, -60.80, 43.60, -43.60, 0.00]
[1.61, -0.94, -0.32] -> [-30.28, -62.15, 126.29, -126.29, 0.00]
[-0.59, 0.5, 1.57] -> [139.72, -40.29, 26.64, -26.64, 0.00]
[0.34, 1.0, 0.65] -> [71.22, -90.49, 35.68, -35.68, 0.00]
[-0.8, 1.24, 1.66] -> [122.83, -31.97, 67.87, -67.87, 0.00]
[-0.22, -0.92, -1.3] -> [-103.45, -74.20, 166.89, -166.89, 0.00]
[-0.39, -0.25, 1.46] -> [-147.34, -40.82, 8.77, -8.77, 0.00]
[-1.51, 0.22, 0.64] -> [171.71, -71.00, 64.54, -64.54, 0.00]
[-1.61, -1.0, 1.61] -> [-148.15, -23.96, 96.41, -96.41, 0.00]
[-1.36, -1.16, 1.4] -> [-139.54, -35.64, 83.50, -83.50, 0.00]
[0.28, 1.96, 1.45] -> [81.87, -27.27, 99.85, -99.85, 0.00]
[1.3, 0.14, 0.17] -> [6.15, -90.78, 63.25, -63.25, 0.00]
[-1.05, -0.3, -0.61] -> [-164.05, -99.57, 92.56, -92.56, 0.00]
[-1.29, -0.61, 0.33] -> [-154.69, -82.59, 65.12, -65.12, 0.00]
[-0.7, 0.45, 1.93] -> [147.26, -19.86, 43.92, -43.92, 0.00]
[0.4, -0.76, 0.32] -> [-62.24, -111.05, 34.64, -34.64, 0.00]
[0.68, -0.98, 1.28] -> [-55.24, -55.53, 42.52, -42.52, 0.00]
[0.41, 0.82, 1.11] -> [63.43, -70.94, 24.44, -24.44, 0.00]
[0.24, 0.45, 0.02] -> [61.93, -134.91, 35.20, -35.20, 0.00]
[-1.61, -1.86, 0.69] -> [-130.88, -15.40, 163.57, -163.57, 0.00]
[-0.68, -1.37, 1.16] -> [-116.40, -52.77, 62.52, -62.52, 0.00]
[-1.84, 0.93, 0.31] -> [153.19, -51.68, 113.66, -113.66, 0.00]
[1.91, 1.49, 0.67] -> [37.96, -21.25, 153.02, -153.02, 0.00]
[1.46, -0.5, 0.95] -> [-18.90, -60.39, 62.94, -62.94, 0.00]
[0.67, 1.81, 1.29] -> [69.69, -34.92, 93.08, -93.08, 0.00]
[0.35, -0.81, 2.0] -> [-66.63, -16.79, 49.27, -49.27, 0.00]
[1.79, -0.94, 0.75] -> [-27.71, -46.82, 100.46, -100.46, 0.00]
[0.39, 0.88, -0.18] -> [66.10, -110.04, 61.51, -61.51, 0.00]
[-0.1, -1.41, 1.57] -> [-94.06, -37.24, 61.60, -61.60, 0.00]
[-1.29, -0.68, 1.59] -> [-152.20, -35.52, 64.90, -64.90, 0.00]
[-0.07, -1.2, 1.88] -> [-93.34, -24.13, 59.32, -59.32, 0.00]
[0.57, 1.35, 1.81] -> [67.11, -25.11, 71.91, -71.91, 0.00]
[0.62, -1.31, 1.05] -> [-64.67, -59.66, 56.73, -56.73, 0.00]
[0.75, 1.12, 0.61] -> [56.19, -79.29, 53.69, -53.69, 0.00]
[-0.38, -0.31, -1.28] -> [-140.79, -101.50, 132.72, -132.72, 0.00]
[-1.79, -1.39, 0.63] -> [-142.17, -35.35, 127.83, -127.83, 0.00]
[-0.41, 1.46, 1.57] -> [105.69, -35.34, 68.12, -68.12, 0.00]
[0.53, 1.27, 1.08] -> [67.35, -60.62, 52.11, -52.11, 0.00]
[-0.85, -0.66, 1.92] -> [-142.17, -22.22, 54.50, -54.50, 0.00]
[0.73, 1.43, 0.02] -> [62.96, -77.73, 87.34, -87.34, 0.00]
[-1.25, 1.2, 0.43] -> [136.17, -66.75, 82.91, -82.91, 0.00]
[-0.22, 1.48, 0.62] -> [98.46, -72.79, 62.92, -62.92, 0.00]
[0.71, -1.36, 1.43] -> [-62.43, -41.21, 66.27, -66.27, 0.00]
[-1.23, -0.55, -0.04] -> [-155.91, -90.72, 73.89, -73.89, 0.00]
[-0.19, 1.34, 1.41] -> [98.07, -45.95, 54.40, -54.40, 0.00]
[1.18, 0.4, 1.89] -> [18.73, -23.42, 62.07, -62.07, 0.00]
[0.63, -1.56, -0.82] -> [-68.01, -55.66, 163.18, -163.18, 0.00]
[-0.59, -0.98, 0.7] -> [-121.05, -84.74, 39.91, -39.91, 0.00]
[0.85, -0.78, -0.49] -> [-42.54, -98.45, 87.61, -87.61, 0.00]
[0.12, -1.85, 0.51] -> [-86.29, -59.67, 90.27, -90.27, 0.00]
[-1.66, 0.25, 1.39] -> [171.44, -39.21, 75.43, -75.43, 0.00]
[-0.31, 1.22, -0.44] -> [104.26, -93.91, 89.87, -89.87, 0.00]
[0.37, -0.04, 1.83] -> [-6.17, -12.33, 23.64, -23.64, 0.00]
[-1.0, 1.86, 0.38] -> [118.26, -48.10, 116.52, -116.52, 0.00]
[-1.15, 1.04, 1.85] -> [137.88, -21.91, 78.71, -78.71, 0.00]
[-0.26, 1.21, 0.53] -> [102.13, -86.47, 48.65, -48.65, 0.00]
[-0.63, 0.93, 0.09] -> [124.11, -100.79, 56.44, -56.44, 0.00]
[-1.67, 0.53, -0.32] -> [162.39, -69.12, 115.74, -115.74, 0.00]
[-0.48, 0.17, -0.73] -> [160.50, -122.93, 81.34, -81.34, 0.00]
[0.86, 0.8, -0.85] -> [42.93, -89.84, 115.49, -115.49, 0.00]
